"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Mon Aug 17 2020 00:00:00 GMT+0530 (India Standard Time)","495.10","508.50","471.20","491.90","3.47","2.82","1,925,624"
"Mon Aug 24 2020 00:00:00 GMT+0530 (India Standard Time)","492.00","506.25","475.00","493.50","0.33","-0.32","793,151"
"Mon Aug 31 2020 00:00:00 GMT+0530 (India Standard Time)","499.00","501.20","461.00","476.10","-3.53","-4.17","570,111"
"Mon Sep 07 2020 00:00:00 GMT+0530 (India Standard Time)","484.50","487.45","450.25","485.10","1.89","1.24","560,774"
"Mon Sep 14 2020 00:00:00 GMT+0530 (India Standard Time)","492.00","518.10","476.10","508.65","4.85","4.21","770,833"
"Mon Sep 21 2020 00:00:00 GMT+0530 (India Standard Time)","509.00","513.75","441.65","482.80","-5.08","-5.73","1,185,068"
"Mon Sep 28 2020 00:00:00 GMT+0530 (India Standard Time)","486.90","500.80","471.75","490.80","1.66","1.01","440,131"
"Mon Oct 05 2020 00:00:00 GMT+0530 (India Standard Time)","490.80","505.80","484.00","492.00","0.24","-0.40","589,739"
"Mon Oct 12 2020 00:00:00 GMT+0530 (India Standard Time)","487.00","509.10","469.25","490.85","-0.23","-0.88","894,360"
"Mon Oct 19 2020 00:00:00 GMT+0530 (India Standard Time)","497.95","497.95","473.00","485.00","-1.19","-1.84","414,822"
"Mon Oct 26 2020 00:00:00 GMT+0530 (India Standard Time)","492.50","493.75","464.75","475.20","-2.02","-2.67","343,103"
"Mon Nov 02 2020 00:00:00 GMT+0530 (India Standard Time)","469.00","515.50","467.65","511.50","7.64","6.99","699,627"
"Mon Nov 09 2020 00:00:00 GMT+0530 (India Standard Time)","500.00","500.00","467.75","485.60","-5.06","-5.71","853,513"
"Mon Nov 16 2020 00:00:00 GMT+0530 (India Standard Time)","487.00","491.80","478.30","481.45","-0.85","-1.50","372,903"
"Mon Nov 23 2020 00:00:00 GMT+0530 (India Standard Time)","481.45","489.00","460.45","471.20","-2.13","-2.78","634,689"
"Mon Nov 30 2020 00:00:00 GMT+0530 (India Standard Time)","475.00","504.70","473.65","503.40","6.83","6.19","434,495"
"Mon Dec 07 2020 00:00:00 GMT+0530 (India Standard Time)","503.40","548.00","502.10","526.85","4.66","4.01","1,319,815"
"Mon Dec 14 2020 00:00:00 GMT+0530 (India Standard Time)","526.25","535.15","506.90","516.05","-2.05","-2.70","411,709"
"Mon Dec 21 2020 00:00:00 GMT+0530 (India Standard Time)","516.05","531.70","464.45","496.40","-3.81","-4.45","591,519"
"Mon Dec 28 2020 00:00:00 GMT+0530 (India Standard Time)","500.00","507.35","491.75","502.80","1.29","0.64","360,467"
"Mon Jan 04 2021 00:00:00 GMT+0530 (India Standard Time)","505.00","525.55","503.80","517.60","2.94","2.30","709,080"
"Mon Jan 11 2021 00:00:00 GMT+0530 (India Standard Time)","521.95","531.95","505.30","512.25","-1.03","-1.68","609,717"
"Mon Jan 18 2021 00:00:00 GMT+0530 (India Standard Time)","509.10","511.55","484.45","495.30","-3.31","-3.96","628,763"
"Mon Jan 25 2021 00:00:00 GMT+0530 (India Standard Time)","496.50","501.05","469.75","472.35","-4.63","-5.28","515,523"
"Mon Feb 01 2021 00:00:00 GMT+0530 (India Standard Time)","475.00","511.40","464.10","503.45","6.58","5.94","605,502"
"Mon Feb 08 2021 00:00:00 GMT+0530 (India Standard Time)","504.50","513.20","492.35","504.20","0.15","-0.50","391,957"
"Mon Feb 15 2021 00:00:00 GMT+0530 (India Standard Time)","509.50","511.60","478.00","482.40","-4.32","-4.97","1,109,460"
"Mon Feb 22 2021 00:00:00 GMT+0530 (India Standard Time)","481.80","485.10","443.90","467.00","-3.19","-3.84","807,257"
"Mon Mar 01 2021 00:00:00 GMT+0530 (India Standard Time)","469.45","482.05","462.00","467.90","0.19","-0.45","523,975"
"Mon Mar 08 2021 00:00:00 GMT+0530 (India Standard Time)","468.35","492.90","467.80","478.85","2.34","1.69","505,218"
"Mon Mar 15 2021 00:00:00 GMT+0530 (India Standard Time)","477.10","478.85","442.85","458.70","-4.21","-4.85","400,327"
"Mon Mar 22 2021 00:00:00 GMT+0530 (India Standard Time)","458.00","470.95","442.15","451.20","-1.64","-2.28","404,702"
